station,neighbors,neighbor_dists
新桜台駅,江古田駅|桜台駅|新江古田駅|小竹向原駅|氷川台駅,0.54|0.56|0.94|0.98|1.01
豊島園駅,練馬駅|中村橋駅|練馬春日町駅|桜台駅|氷川台駅,0.74|1.17|1.26|1.33|1.74
多摩湖駅,西武園駅|武蔵大和駅|東村山駅|八坂駅|久米川駅,0.59|1.06|2.18|3.23|3.25
西武新宿駅,新宿西口駅|新大久保駅|大久保駅|西新宿駅|新宿駅,0.34|0.51|0.56|0.69|0.70
下落合駅,中井駅|高田馬場駅|落合駅|目白駅|椎名町駅,0.80|0.85|0.91|1.10|1.19
中井駅,落合駅|下落合駅|東中野駅|落合南長崎駅|新井薬師前駅,0.40|0.80|0.91|1.05|1.28
新井薬師前駅,沼袋駅|中野駅|中井駅|落合南長崎駅|東中野駅,0.89|1.27|1.28|1.30|1.42
沼袋駅,新井薬師前駅|野方駅|中野駅|新江古田駅|都立家政駅,0.89|1.00|1.53|1.58|1.74
野方駅,都立家政駅|沼袋駅|鷺ノ宮駅|高円寺駅|新井薬師前駅,0.77|1.00|1.29|1.61|1.84
都立家政駅,鷺ノ宮駅|野方駅|中村橋駅|沼袋駅|下井草駅,0.53|0.77|1.74|1.74|1.82
鷺ノ宮駅,都立家政駅|野方駅|下井草駅|中村橋駅|富士見台駅,0.53|1.29|1.29|1.58|1.69
下井草駅,井荻駅|鷺ノ宮駅|富士見台駅|都立家政駅|中村橋駅,0.85|1.29|1.41|1.82|1.84
井荻駅,下井草駅|上井草駅|練馬高野台駅|富士見台駅|上石神井駅,0.85|1.12|1.77|1.79|2.08
上井草駅,上石神井駅|井荻駅|下井草駅|石神井公園駅|練馬高野台駅,0.97|1.12|1.97|2.06|2.11
上石神井駅,上井草駅|武蔵関駅|井荻駅|石神井公園駅|西荻窪駅,0.97|1.44|2.08|2.34|2.56
武蔵関駅,東伏見駅|上石神井駅|西武柳沢駅|上井草駅|保谷駅,1.17|1.44|2.16|2.40|2.42
東伏見駅,西武柳沢駅|武蔵関駅|田無駅|保谷駅|上石神井駅,1.00|1.17|2.19|2.19|2.61
西武柳沢駅,東伏見駅|田無駅|武蔵関駅|保谷駅|ひばりヶ丘駅,1.00|1.20|2.16|2.57|2.61
田無駅,西武柳沢駅|東伏見駅|花小金井駅|ひばりヶ丘駅|武蔵境駅,1.20|2.19|2.35|2.75|2.82
花小金井駅,田無駅|小平駅|武蔵小金井駅|東小金井駅|一橋学園駅,2.35|2.53|2.82|2.91|3.02
小平駅,萩山駅|青梅街道駅|新小平駅|一橋学園駅|久米川駅,1.13|1.26|1.72|1.81|2.00
久米川駅,八坂駅|萩山駅|東村山駅|小川駅|小平駅,0.68|1.05|1.32|1.57|2.00
東村山駅,久米川駅|八坂駅|西武園駅|武蔵大和駅|多摩湖駅,1.32|1.69|1.74|2.01|2.18
萩山駅,八坂駅|久米川駅|青梅街道駅|小平駅|新小平駅,0.95|1.05|1.09|1.13|1.19
小川駅,八坂駅|新小平駅|萩山駅|青梅街道駅|久米川駅,0.90|0.96|1.26|1.39|1.57
東大和市駅,玉川上水駅|桜街道駅|砂川七番駅|泉体育館駅|上北台駅,1.45|1.73|1.80|2.05|2.20
玉川上水駅,桜街道駅|砂川七番駅|東大和市駅|泉体育館駅|上北台駅,0.79|0.96|1.45|1.47|1.55
武蔵砂川駅,西武立川駅|玉川上水駅|砂川七番駅|桜街道駅|東中神駅,2.02|2.35|2.40|2.46|2.60
西武立川駅,昭島駅|中神駅|武蔵砂川駅|拝島駅|東中神駅,1.63|1.97|2.02|2.46|2.56
西武園駅,多摩湖駅|武蔵大和駅|東村山駅|久米川駅|八坂駅,0.59|1.33|1.74|2.94|3.04
恋ヶ窪駅,西国分寺駅|鷹の台駅|一橋学園駅|国分寺駅|国立駅,1.31|1.32|1.88|1.94|2.08
鷹の台駅,新小平駅|恋ヶ窪駅|小川駅|青梅街道駅|一橋学園駅,1.25|1.32|1.62|1.65|1.70
一橋学園駅,青梅街道駅|新小平駅|鷹の台駅|小平駅|恋ヶ窪駅,1.03|1.31|1.70|1.81|1.88
青梅街道駅,新小平駅|一橋学園駅|萩山駅|小平駅|小川駅,0.53|1.03|1.09|1.26|1.39
八坂駅,久米川駅|小川駅|萩山駅|新小平駅|東村山駅,0.68|0.90|0.95|1.54|1.69
武蔵大和駅,多摩湖駅|西武園駅|東村山駅|八坂駅|久米川駅,1.06|1.33|2.01|2.49|2.69
