name,st,min,near,use,year,floors,area,src,addr
ラフィスタ鷺ノ宮,富士見台,10,富士見台:10|下井草:11|鷺ノ宮:12|中村橋:12,賃貸,2025,4,6068,建築物環境計画書,中野区上鷺宮2丁目393-11、394、395-9
BELISTA日本橋小伝馬町,小伝馬町,1,小伝馬町:1|馬喰横山:5|馬喰町:5|新日本橋:6|岩本町:7,,,,,中央区防災認定,中央区日本橋小伝馬町5-14
GREEN PARK 日本橋小伝馬町,小伝馬町,1,小伝馬町:1|馬喰横山:5|馬喰町:5|新日本橋:6|岩本町:7,,,,,中央区防災認定,中央区日本橋小伝馬町7-15
THEパームス日本橋小伝馬町ヴィサージュ,小伝馬町,1,小伝馬町:1|馬喰横山:5|馬喰町:5|新日本橋:6|岩本町:7,,,,,中央区防災認定,中央区日本橋小伝馬町16-4
ZOOM神田,小伝馬町,2,小伝馬町:2|岩本町:5|馬喰町:6|馬喰横山:6|新日本橋:6,賃貸,2025,14,2133,建築物環境計画書,"千代田区岩本町1丁目36番5,25"
エフローレ日本橋,小伝馬町,2,小伝馬町:2|馬喰横山:4|馬喰町:5|人形町:6|新日本橋:6,,,,,中央区防災認定,中央区日本橋大伝馬町13-5
プライムアーバン日本橋大伝馬町,小伝馬町,2,小伝馬町:2|馬喰横山:4|馬喰町:5|人形町:6|新日本橋:6,賃貸,,,,とどまるマンション,中央区日本橋大伝馬町
プラウド日本橋大伝馬町,小伝馬町,2,小伝馬町:2|馬喰横山:4|馬喰町:5|人形町:6|新日本橋:6,,,,,中央区防災認定,中央区日本橋大伝馬町9-11
サンクレイドル小作,小作,7,小作:7,分譲,2023,14,7118,建築物環境計画書,青梅市新町3丁目3-5
オープンレジデンシア小岩ステーションフロント,小岩,4,小岩:4|京成小岩:15,分譲,2023,14,7573,建築物環境計画書,江戸川区西小岩一丁目1945番1
プロシード小岩,小岩,5,小岩:5,賃貸,2025,10,3734,建築物環境計画書,江戸川区南小岩7丁目1884番、2341番2
プラウドタワー小岩フロント,小岩,6,小岩:6,分譲,2025,33,52781,建築物環境計画書,江戸川区南小岩六丁目2354番
プレディア小岩,小岩,9,小岩:9,分譲,2025,14,4678,建築物環境計画書,江戸川区西小岩2丁目1717-1
サンクレイドル小岩III,小岩,14,小岩:14,分譲,2023,8,3302,建築物環境計画書,葛飾区奥戸九丁目397-1、-3、-4 江戸川区西小岩二丁目716-4、-5
小平ガーデニア,小平,1,小平:1|萩山:14,分譲,,,,とどまるマンション,小平市美園町1丁目
ビューハイム武蔵野,小平,14,小平:14,分譲,,,,とどまるマンション,東久留米市柳窪2丁目
コスモグランプレイス,小村井,3,小村井:3|東あずま:9|京成曳舟:12|曳舟:14,分譲,,,,とどまるマンション,墨田区文花3丁目
ルネ・フロンティアマークス,小村井,3,小村井:3|東あずま:9|京成曳舟:12|曳舟:14,分譲,,,,とどまるマンション,墨田区文花3丁目
ジェノヴィア小村井,小村井,6,小村井:6|東あずま:8|京成曳舟:15,分譲,2025,10,2968,建築物環境計画書,墨田区立花五丁目1番28
ハーモニーレジデンス東京八広ザ・スプレッド,小村井,7,小村井:7|京成曳舟:9|曳舟:12|東あずま:13|東向島:15,分譲,2021,5,2073,建築物環境計画書,墨田区八広2丁目14番、14番13号、61番8号
レクシオ亀戸,小村井,7,小村井:7|京成曳舟:9|曳舟:12|東あずま:13|東向島:15,分譲,,,,とどまるマンション,墨田区八広2丁目
アトラス亀戸レジデンス,小村井,10,小村井:10|東あずま:11|亀戸:11|亀戸水神:14|錦糸町:14,分譲,2025,14,3999,建築物環境計画書,江東区亀戸三丁目187-3(地名地番)
ライオンズプラザ多摩センター,小田急多摩センター,3,小田急多摩センター:3|京王多摩センター:3|松が谷:11,分譲,,,,とどまるマンション,多摩市落合1丁目
THE GRAND CROSS多摩センター【ザ・グランクロス多摩センター】,小田急多摩センター,11,小田急多摩センター:11|唐木田:11|京王多摩センター:11,分譲,2024,20,22504,建築物環境計画書,多摩市鶴牧三丁目5番7
エステート落合5-8 1・2・4~14・16~20号棟,小田急多摩センター,15,小田急多摩センター:15,,,,,とどまるマンション,多摩市落合5丁目
エステート永山-3住宅 1号棟、2号棟、3号棟、4号棟、5号棟、6号棟、7号棟,小田急永山,9,小田急永山:9|京王永山:10,,,,,とどまるマンション,多摩市永山3丁目
コスモ小竹向原アーバンフォルム,小竹向原,4,小竹向原:4|江古田:14|新桜台:14,分譲,,,,とどまるマンション,板橋区小茂根1丁目
プラウドシティ小竹向原 グランドコート,小竹向原,4,小竹向原:4|江古田:14|新桜台:14,分譲,2024,12,34369,建築物環境計画書,板橋区小茂根1丁目1番地41
プラウドシティ小竹向原 フロントコート,小竹向原,4,小竹向原:4|江古田:14|新桜台:14,分譲,2024,7,5809,建築物環境計画書,板橋区小茂根1丁目1番地42
オープンレジデンシア小竹向原,小竹向原,6,小竹向原:6|千川:11,分譲,2022,5,3503,建築物環境計画書,板橋区向原3丁目10番15号
クレヴィア千川,小竹向原,7,小竹向原:7|千川:7,分譲,,,,とどまるマンション,板橋区向原1丁目
マイキャッスル千川,小竹向原,7,小竹向原:7|千川:7,分譲,,,,とどまるマンション,板橋区向原1丁目
キャンパスヴィレッジ小竹向原,小竹向原,10,小竹向原:10|ときわ台:14,賃貸,2022,7,2886,建築物環境計画書,板橋区小茂根2丁目91-1
コスモ小竹向原,小竹向原,10,小竹向原:10|ときわ台:15,分譲,,,,とどまるマンション,板橋区小茂根3丁目
