station_name,pref_cd,address,post_title,post_name,prefecture
井荻,13,杉並区下井草５-２３-１５,井荻駅,井荻,東京都
上井草,13,杉並区上井草３-３２-１,上井草駅,上井草,東京都
上石神井,13,練馬区上石神井１-２-４５,上石神井駅,上石神井,東京都
武蔵関,13,練馬区関町北２-２９-１,武蔵関駅,武蔵関,東京都
東伏見,13,西東京市東伏見２-５-１,東伏見駅,東伏見,東京都
西武柳沢,13,西東京市保谷町３-１１-２４,西武柳沢駅,西武柳沢,東京都
田無,13,西東京市田無町４-１-１,田無駅,田無,東京都
花小金井,13,小平市花小金井１-１０-５,花小金井駅,花小金井,東京都
小平,13,小平市美園町１-３４-１,小平駅,小平,東京都
久米川,13,東村山市栄町２-３-１,久米川駅,久米川,東京都
東村山,13,東村山市本町２-３-３２,東村山駅,東村山,東京都
小平,13,小平市美園町１-３４-１,小平駅,小平,東京都
萩山,13,東村山市萩山町２-１-１,萩山駅,萩山,東京都
小川,13,小平市小川東町１-２０-１,小川駅,小川,東京都
東大和市,13,東大和市桜が丘１-１４１５-１,東大和市駅,東大和市,東京都
玉川上水,13,立川市幸町６-３６-１,玉川上水駅,玉川上水,東京都
武蔵砂川,13,立川市上砂町５-４４-４,武蔵砂川駅,武蔵砂川,東京都
西武立川,13,立川市西砂町１-２１-２,西武立川駅,西武立川,東京都
拝島,13,昭島市松原町４丁目,拝島駅,拝島,東京都
東村山,13,東村山市本町２-３-３２,東村山駅,東村山,東京都
西武園,13,東村山市多摩湖町４-２９-１,西武園駅,西武園,東京都
国分寺,13,東京都国分寺市本町二丁目1-23,国分寺駅,国分寺,東京都
恋ヶ窪,13,東京都国分寺市戸倉一丁目1-4,恋ヶ窪駅,恋ヶ窪,東京都
鷹の台,13,小平市たかの台４５-４,鷹の台駅,鷹の台,東京都
小川,13,小平市小川東町１-２０-１,小川駅,小川,東京都
東村山,13,東村山市本町２-３-３２,東村山駅,東村山,東京都
国分寺,13,東京都国分寺市本町二丁目1-23,国分寺駅,国分寺,東京都
一橋学園,13,小平市学園西町２-１-１,一橋学園駅,一橋学園,東京都
青梅街道,13,小平市小川町２-１８４６,青梅街道駅,青梅街道,東京都
萩山,13,東村山市萩山町２-１-１,萩山駅,萩山,東京都
八坂,13,東村山市栄町３-１８-１,八坂駅,八坂,東京都
武蔵大和,13,東村山市廻田町３-９-１９,武蔵大和駅,武蔵大和,東京都
多摩湖,13,東村山市多摩湖町３-１５-１８,多摩湖駅,多摩湖,東京都
武蔵境,13,武蔵野市境１丁目,武蔵境駅,武蔵境,東京都
新小金井,13,小金井市東町４-２４-１,新小金井駅,新小金井,東京都
多磨,13,府中市紅葉丘３-４２-２,多磨駅,多磨,東京都
白糸台,13,府中市白糸台２-７１-６,白糸台駅,白糸台,東京都
競艇場前,13,府中市小柳町４-１０-１１,競艇場前駅,競艇場前,東京都
是政,13,府中市是政５-８-２,是政駅,是政,東京都
京成上野,13,東京都台東区上野公園1-60,京成上野駅,京成上野,東京都
日暮里,13,東京都荒川区西日暮里二丁目,日暮里駅,日暮里,東京都
新三河島,13,荒川区西日暮里６-２-１,新三河島駅,新三河島,東京都
町屋,13,荒川区町屋１丁目,町屋駅,町屋,東京都
千住大橋,13,足立区千住橋戸町１１-１,千住大橋駅,千住大橋,東京都
京成関屋,13,足立区千住曙町２-２,京成関屋駅,京成関屋,東京都
堀切菖蒲園,13,葛飾区堀切５-１-１,堀切菖蒲園駅,堀切菖蒲園,東京都
お花茶屋,13,葛飾区宝町２-３７-１,お花茶屋駅,お花茶屋,東京都
青砥,13,東京都葛飾区青戸三丁目36番1号,青砥駅,青砥,東京都
